,carat,cut,color,clarity,depth,table,price,lwd
1,0.2,Premium,J,VS1,62.4,58,"Rs. 18,115",3.74 x3.71 x2.32
2,0.21,Premium,J,VVS2,59.3,62,"Rs. 19,444",3.85 x3.82 x2.27
3,0.2,Premium,J,IF,61.5,59,"Rs. 20,979",3.79x3.82x2.34
4,0.2,Premium,J,IF,59.3,60,"Rs. 21,212",3.84x3.86x2.29
5,0.23,Premium,J,VVS1,59.7,61,"Rs. 21,979",3.98x4.01x2.39
6,0.23,Premium,I,VVS1,61.5,61,"Rs. 22,052",3.92x3.94x2.41
7,0.2,Premium,I,VVS1,61.6,58,"Rs. 22,230",3.8 x3.78 x2.34
8,0.21,Premium,H,VS1,61.1,57,"Rs. 22,273",3.81x3.84x2.34
9,0.22,Premium,E,SI1,62.6,56,"Rs. 22,307",3.86x3.83x2.41
10,0.23,Premium,J,VS1,61.6,61,"Rs. 22,394",3.92 x 3.96 x 2.43
11,4.4,Premium,F,VVS1,62,58,"Rs. 1,20,50,390",10.41 x 10.48 x 6.47
12,3.8,Premium,D,IF,60.7,59,"Rs. 1,55,37,610",10.01 x 10.05 x 6.08
13,7.51,Premium,G,VVS2,59,60,"Rs. 2,52,21,414",12.79 x 12.85 x 7.57
14,7.05,Premium,F,VVS2,61.9,57,"Rs. 2,61,32,754",12.27 x 12.30 x 7.61
15,7.45,Premium,D,VVS1,61.2,57,"Rs. 3,91,80,382",12.56X12.61 x 7.71
16,10.07,Premium,F,VS1,62.6,58,"Rs. 4,21,22,295",13.69X13.75 x 8.59
17,10.18,Premium,D,VVS2,60.2,58,"Rs. 5,84,78,870",14.06X14.12 x 8.47
18,10.04,Premium,D,VVS1,62.7,55,"Rs. 6,96,15,625",13.78 x 13.69 x 8.61
19,0.2,Premium,I,VVS1,62.4,59,"Rs. 22,633",3.78x3.76x2.35
20,0.21,Premium,I,IF,61.2,58,"Rs. 22,696",3.85 x 3.88 x 2.37
21,0.24,Premium,J,VS1,60.3,60,"Rs. 22,807",4.02 x 4.03 x 2.43
22,0.2,Premium,H,VS2,61,60,"Rs. 22,867",3.77 x3.79 x2.31
23,0.21,Premium,F,VS2,61.3,60,"Rs. 22,919",3.81 x3.94 x2.35
24,0.23,Very Good,I,VVS1,62.2,58,"Rs. 23,808",3.88 x 3.91 x 2.42
25,0.2,Very Good,D,VS1,61.5,60,"Rs. 23,927",3.73x3.77x2.31
26,0.23,Premium,I,VVS1,59.6,61,"Rs. 23,930",3.96x3.99x2.37
27,0.2,Premium,H,VVS1,60.2,61,"Rs. 24,012",3.77x3.80x2.28
28,0.23,Premium,I,VS1,61.6,57,"Rs. 24,150",3.96x3.99x2.45
29,0.23,Premium,I,VVS2,61.5,56,"Rs. 24,296",3.95x3.92x2.42
30,0.23,Premium,I,VS2,62,56,"Rs. 24,321",3.96x3.94x2.45
31,0.23,Premium,I,VS2,62.3,58,"Rs. 24,321",3.92x3.86x2.42
32,0.25,Very Good,I,VVS2,60,61,"Rs. 24,394",4.14x4.11x2.48
33,0.24,Premium,I,VS1,62.4,58,"Rs. 24,411",3.94x3.98x2.47
34,0.2,Premium,D,VS2,62.1,59,"Rs. 24,457",3.75 x3.77 x2.34
35,0.2,Premium,D,VS2,60.3,61,"Rs. 24,457",3.82 x3.84 x2.31
36,0.2,Premium,G,VVS1,62.6,56,"Rs. 24,585",3.78x3.75x2.36
37,0.23,Premium,I,VVS1,59,61,"Rs. 24,638",4.02x4.05x2.38
38,0.2,Premium,E,VVS2,59.8,59,"Rs. 24,648",3.8 x3.82 x2.28
39,0.21,Premium,D,VS1,62.5,56,"Rs. 24,678",3.79x3.81x2.37
40,0.3,Premium,I,SI2,62.8,57,"Rs. 24,691",4.29x4.31x2.7
41,0.21,Premium,G,VVS2,62.8,56,"Rs. 24,700",3.83x3.8x2.4
42,0.2,Premium,F,VS2,60.6,58,"Rs. 24,733",3.81x3.8x2.31
43,0.23,Premium,F,SI2,60.6,62,"Rs. 24,735",3.95 x 3.97 x 2.40
44,0.22,Premium,G,VS1,59,61,"Rs. 24,757",3.92x3.95x2.32
45,0.23,Premium,I,VS1,62,58,"Rs. 24,809",3.93x3.9x2.43
46,0.23,Premium,J,VS2,61.4,60,"Rs. 24,809",3.93x3.9x2.4
47,0.24,Premium,J,VS1,62.6,57,"Rs. 24,869",4x3.97x2.5
48,0.23,Premium,F,SI1,61.1,58,"Rs. 24,882",3.94x3.95x2.41
49,0.21,Premium,E,VS2,62.9,56,"Rs. 24,901",3.79 x 4.83 x 2.40
50,0.24,Premium,I,VS1,62.3,57,"Rs. 24,920",3.95x3.97x2.47
51,0.22,Premium,J,VVS2,62.6,56,"Rs. 24,967",3.84x3.86x2.41
52,0.2,Premium,F,VS1,62.8,58,"Rs. 24,988",3.76x3.75x2.36
53,0.2,Premium,H,VVS1,60.1,61,"Rs. 25,115",3.78x3.85x2.29
54,0.24,Premium,J,VVS1,60.9,59,"Rs. 25,124",4.00x4.03x2.44
55,0.23,Premium,I,VS2,62.1,59,"Rs. 25,126",3.93x3.94x2.44
56,0.23,Very Good,I,VVS2,62.4,57,"Rs. 25,248",3.96 x 3.94 x 2.46
57,0.2,Premium,H,VVS2,60.8,57,"Rs. 25,391",3.82x3.79x2.31
58,0.23,Premium,I,VS2,60.8,59,"Rs. 25,394",3.93x3.96x2.40
59,0.23,Premium,I,VVS2,62.6,59,"Rs. 25,540",3.89x3.93x2.45
60,0.23,Premium,E,SI1,62.4,58,"Rs. 25,638",3.91x3.93x2.45
61,0.23,Premium,E,SI1,62.6,57,"Rs. 25,638",3.93x3.96x2.47
62,0.2,Premium,F,VVS2,61,58,"Rs. 25,645",3.75x3.77x2.30
63,0.21,Premium,D,VS2,62.7,58,"Rs. 25,680",3.78 x3.8 x2.38
64,0.2,Premium,F,VS1,61.4,56,"Rs. 25,751",3.76x3.78x2.31
65,0.24,Premium,I,VVS1,61.1,62,"Rs. 25,760",3.99x3.96x2.43
66,0.23,Premium,I,VVS2,62.2,55,"Rs. 25,760",3.95x3.91x2.44
67,0.23,Premium,I,VVS2,62.7,57,"Rs. 25,760",3.9x3.87x2.43
68,0.23,Premium,I,VVS2,62,57,"Rs. 25,760",3.94x3.91x2.43
69,0.23,Premium,E,SI1,62.8,58,"Rs. 25,760",3.89x3.91x2.45
70,0.3,Premium,J,SI2,62.4,55,"Rs. 25,773",4.33x4.3x2.69
71,0.31,Premium,J,SI2,62.1,55,"Rs. 25,777",4.37 x 4.39 x 2.72
72,0.21,Premium,G,VVS2,60.8,56,"Rs. 25,814",3.83x3.86x2.34
73,0.23,Premium,J,VVS1,62.1,55,"Rs. 25,833",3.94x3.91x2.44
74,0.26,Premium,I,VS2,62.2,59,"Rs. 25,866",4.09x4.12x2.55
75,0.23,Premium,E,SI1,61.1,57,"Rs. 25,882",3.94x3.97x2.41
76,0.24,Premium,J,VS2,62.2,55,"Rs. 25,887",4.03x4x2.5
77,0.3,Very Good,I,SI2,62.9,56,"Rs. 25,900",4.22 x 4.27 x 2.67
78,0.2,Premium,H,VVS2,59.9,61,"Rs. 25,900",3.78x3.80x2.27
79,0.22,Very Good,E,VS2,62.2,57,"Rs. 26,017",3.89 x 3.90 x 2.42
80,0.2,Premium,F,VS1,61.4,57,"Rs. 26,027",3.79x3.81x2.34
81,0.2,Premium,G,VVS1,59.8,59,"Rs. 26,070",3.82x3.8x2.28
82,0.23,Premium,F,SI2,61.2,60,"Rs. 26,101",3.95x3.92x2.41
83,0.23,Premium,I,VS1,59.9,59,"Rs. 26,126",4.00 x 4.02 x 2.40
84,0.3,Premium,J,SI1,62.2,57,"Rs. 26,218",4.23x4.27x2.65
85,0.2,Premium,G,VVS2,60.9,61,"Rs. 26,218",3.75x3.78x2.29
86,0.23,Premium,J,VVS2,61.9,58,"Rs. 26,321",3.93x3.91x2.43
87,0.23,Premium,I,VVS1,61.9,57,"Rs. 26,321",3.95x3.93x2.44
88,0.23,Premium,J,VVS2,63,56,"Rs. 26,321",3.92x3.9x2.46
89,0.23,Premium,J,VVS2,62.1,57,"Rs. 26,321",3.92x3.89x2.43
90,0.23,Premium,I,VVS1,62.7,56,"Rs. 26,321",3.92x3.9x2.45
91,0.23,Premium,J,VVS1,62.4,57,"Rs. 26,321",3.91x3.88x2.43
92,0.23,Premium,J,VVS1,62.6,57,"Rs. 26,321",3.93x3.9x2.45
93,0.23,Premium,I,VVS1,62.4,56,"Rs. 26,321",3.96x3.93x2.46
94,0.23,Premium,J,VVS2,62.9,56,"Rs. 26,321",3.91x3.88x2.45
95,0.23,Premium,I,VVS1,62.5,55,"Rs. 26,321",3.96x3.94x2.47
96,0.2,Premium,F,VVS2,62.7,56,"Rs. 26,324",3.71x3.73x2.33
97,0.23,Very Good,G,VVS2,61.1,60,"Rs. 26,345",3.89 x3.88 x2.37
98,0.21,Premium,H,VVS1,59.9,60,"Rs. 26,349",3.86x3.88x2.32
99,0.2,Premium,G,VS2,62.1,56,"Rs. 26,367",3.75 x 3.77 x 2.34
100,0.2,Premium,G,VS1,61.6,58,"Rs. 26,367",3.73x3.75x2.30
101,0.23,Premium,I,VS1,59.1,59,"Rs. 26,370",4.01x4.03x2.38
102,0.2,Premium,G,VVS2,62.6,59,"Rs. 26,451",3.76x3.74x2.35
103,0.2,Premium,G,VVS2,60.7,59,"Rs. 26,451",3.75x3.77x2.28
104,0.2,Premium,G,VVS1,61.8,57,"Rs. 26,451",3.79x3.82x2.35
105,0.2,Premium,E,VS1,62.7,58,"Rs. 26,451",3.75x3.77x2.36
106,0.2,Premium,E,VS1,61.1,57,"Rs. 26,451",3.80x3.81x2.33
107,0.2,Premium,G,VVS2,60.7,59,"Rs. 26,451",3.79x3.81x2.31
108,0.21,Premium,F,VS1,59.2,59,"Rs. 26,504",3.89x3.91x2.31
109,0.21,Premium,E,VS2,59.8,59,"Rs. 26,504",3.83x3.85x2.30
110,0.23,Premium,I,VS1,61.4,60,"Rs. 26,614",3.98x3.95x2.43
111,0.23,Premium,G,VVS1,59.2,62,"Rs. 26,614",3.98x4.01x2.37
112,0.24,Premium,E,SI2,62.7,57,"Rs. 26,625",3.96x3.98x2.49
113,0.23,Premium,I,VVS2,61.7,57,"Rs. 26,638",3.94 x 3.95 x 2.43
114,0.23,Premium,G,VVS1,61.9,59,"Rs. 26,638",3.95x3.98x2.45
115,0.3,Premium,J,SI1,61.9,58,"Rs. 26,727",4.27 x 4.30 x 2.65
116,0.24,Premium,F,SI1,60.9,58,"Rs. 26,753",4.04x4.05x2.46
117,0.21,Premium,F,VS2,61.4,59,"Rs. 26,794",3.83x3.84x2.36
118,0.2,Premium,E,VS2,60.2,59,"Rs. 26,833",3.81 x 3.80 x 2.29
119,0.2,Premium,E,VS2,60.2,58,"Rs. 26,833",3.85x3.82x2.31
120,0.2,Premium,E,VS2,60.8,59,"Rs. 26,833",3.78x3.80x2.31
121,0.24,Premium,I,VVS2,62,58,"Rs. 26,880",3.99x3.96x2.47
122,0.32,Premium,J,SI2,61.2,57,"Rs. 26,880",4.41 x 4.43 x 2.71
123,0.23,Very Good,I,VS1,60.6,62,"Rs. 26,882",3.94 x 3.96 x 2.39
124,0.23,Premium,I,VVS2,61.4,57,"Rs. 26,906",3.97 x 3.99 x 2.44
125,0.2,Premium,F,VS2,60.3,58,"Rs. 26,939",3.8x3.78x2.29
126,0.21,Premium,H,VVS2,62.2,58,"Rs. 26,950",3.78 x 3.80 x 2.36
127,0.31,Premium,I,SI2,62.7,57,"Rs. 26,993",4.31 x 4.35 x 2.71
128,0.31,Premium,I,SI2,62.4,58,"Rs. 26,993",4.32 x 4.35 x 2.70
129,0.24,Premium,F,SI1,62.1,57,"Rs. 27,007",3.97x3.99x2.47
130,0.21,Very Good,D,VS1,62.3,59,"Rs. 27,061",3.8x3.78x2.36
131,0.3,Premium,I,SI2,62.2,58,"Rs. 27,077",4.26 x 4.29 x 2.66
132,0.23,Premium,I,VVS1,62.7,58,"Rs. 27,077",3.89x3.92x2.45
133,0.23,Premium,I,VVS1,60.7,60,"Rs. 27,077",3.96x3.98x2.41
134,0.2,Premium,E,VS2,60.9,58,"Rs. 27,088",3.75x3.77x2.29
135,0.2,Premium,F,VVS1,62.5,56,"Rs. 27,109",3.74x3.77x2.34
136,0.21,Premium,G,VVS1,60.7,59,"Rs. 27,128",3.83x3.86x2.34
137,0.31,Premium,J,SI2,62,57,"Rs. 27,158",4.33 x 4.35 x 2.69
138,0.21,Premium,G,VVS1,60,55,"Rs. 27,217",3.9x3.88x2.34
139,0.21,Premium,G,VVS1,61.5,55,"Rs. 27,217",3.87x3.84x2.37
140,0.21,Premium,G,VVS1,62.3,58,"Rs. 27,217",3.86x3.84x2.4
141,0.23,Very Good,H,VS2,63.4,58,"Rs. 27,223",3.87 x 3.88 x 2.46
142,0.24,Premium,J,VVS2,60.5,60,"Rs. 27,236",4.07x4.05x2.46
143,0.23,Premium,H,VVS1,62.3,58,"Rs. 27,248",3.94x3.96x2.46
144,0.2,Premium,G,VVS1,60.6,58,"Rs. 27,257",3.78x3.77x2.29
145,0.3,Premium,J,SI1,62.6,57,"Rs. 27,300",4.26x4.28x2.67
146,0.2,Premium,F,VVS1,60.4,61,"Rs. 27,321",3.79x3.76x2.28
147,0.21,Premium,E,VS1,59.9,59,"Rs. 27,328",3.89x3.91x2.33
148,0.3,Premium,I,SI2,61.1,58,"Rs. 27,332",4.30 x 4.33 x 2.64
149,0.2,Premium,D,VS2,59.5,59,"Rs. 27,363",3.85x3.82x2.28
150,0.2,Premium,F,IF,59.9,61,"Rs. 27,385",3.79x3.82x2.28
151,0.23,Premium,I,VS1,60.9,59,"Rs. 27,394",3.93 x 3.95 x 2.40
152,0.21,Premium,G,VVS1,62.3,59,"Rs. 27,395",3.82x3.84x2.39
153,0.23,Premium,J,VVS2,62.3,57,"Rs. 27,419",3.92x3.89x2.44
154,0.2,Premium,H,VVS1,62.5,58,"Rs. 27,427",3.74x3.71x2.33
155,0.23,Premium,H,VVS2,59.4,61,"Rs. 27,443",3.99 x3.96 x2.37
156,0.22,Premium,F,VS2,62.3,56,"Rs. 27,463",3.86 x 3.89 x 2.42
157,0.21,Premium,F,VVS2,61,60,"Rs. 27,484",3.82x3.85x2.34
158,0.22,Premium,E,VS2,59.7,60,"Rs. 27,487",3.96x3.99x2.38
159,0.23,Premium,J,VVS2,61.5,60,"Rs. 27,492",3.93 x 3.95 x 2.42
160,0.23,Very Good,J,VVS2,62.4,56,"Rs. 27,492",3.88 x 3.92 x 2.43
161,0.23,Premium,I,VVS1,60.3,56,"Rs. 27,492",4.01x3.99x2.41
162,0.21,Premium,G,VVS2,60.9,57,"Rs. 27,507",3.85x3.87x2.35
163,0.21,Premium,H,VVS2,62.7,55,"Rs. 27,529",3.81x3.84x2.40
164,0.2,Premium,H,VVS1,60.3,59,"Rs. 27,533",3.82x3.8x2.3
165,0.23,Premium,H,VS2,61.1,60,"Rs. 27,541",3.93 x 3.96 x 2.41
166,0.23,Very Good,G,VS2,59.8,59,"Rs. 27,541",3.98 x 4.00 x 2.38
167,0.21,Premium,F,VVS2,62.4,56,"Rs. 27,551",3.81x3.83x2.39
168,0.23,Premium,G,VS2,62.6,56,"Rs. 27,565",3.94x3.92x2.46
169,0.2,Premium,E,VVS1,59.6,61,"Rs. 27,576",3.80x3.83x2.27
170,0.2,Premium,D,VS1,59.4,59,"Rs. 27,618",3.83x3.82x2.27
171,0.23,Premium,I,VS1,61.9,56,"Rs. 27,638",3.90 x 3.93 x 2.42
172,0.23,Very Good,H,VVS2,63.2,55,"Rs. 27,711",3.89 x 3.90 x 2.46
173,0.21,Premium,E,VVS2,62,58,"Rs. 27,729",3.77x3.80x2.35
174,0.23,Very Good,F,VS1,63.3,58,"Rs. 27,736",3.89x3.92x2.47
175,0.23,Premium,D,SI2,62.6,59,"Rs. 27,736",3.88 x 3.91 x 2.44
176,0.24,Premium,J,VVS2,62.3,56,"Rs. 27,745",4.01x3.98x2.49
177,0.23,Very Good,J,VVS1,62.9,59,"Rs. 27,760",3.86 x 3.89 x 2.44
178,0.23,Premium,I,VVS1,60.4,59,"Rs. 27,760",3.97 x 3.99 x 2.40
179,0.23,Premium,J,VVS1,59.4,60,"Rs. 27,760",3.99 x 4.01 x 2.38
180,0.25,Very Good,I,VVS2,63.4,57,"Rs. 27,761",4 x4.04 x2.55
181,0.22,Premium,E,VS1,61.5,55,"Rs. 27,766",3.94 x 3.91 x 2.41
182,0.21,Premium,G,VVS1,62.6,58,"Rs. 27,774",3.82x3.78x2.38
183,0.21,Premium,G,VVS2,62.6,58,"Rs. 27,774",3.78x3.77x2.36
184,0.21,Premium,H,VVS2,62.2,57,"Rs. 27,774",3.8x3.78x2.36
185,0.24,Premium,I,VS2,61.4,60,"Rs. 27,796",3.99 x 4.01 x 2.46
186,0.24,Premium,F,SI1,59.7,59,"Rs. 27,796",4.05x4.07x2.43
187,0.24,Premium,F,SI1,59.8,59,"Rs. 27,796",4.04x4.07x2.42
188,0.3,Premium,I,SI1,61.7,60,"Rs. 27,873",4.28 x 4.30 x 2.65
189,0.21,Premium,F,VS1,60.4,57,"Rs. 27,885",3.83 x 3.86 x 2.32
190,0.21,Premium,E,VS1,62.8,58,"Rs. 27,885",3.84x3.81x2.4
191,0.21,Premium,F,VS1,61.7,58,"Rs. 27,885",3.88x3.85x2.38
192,0.21,Premium,E,VS1,61.3,57,"Rs. 27,885",3.87x3.85x2.37
193,0.23,Premium,G,VS2,60,62,"Rs. 27,906",4.00x3.98x2.39
194,0.23,Premium,D,SI1,61.1,55,"Rs. 27,906",3.94 x 3.96 x 2.42
195,0.23,Premium,D,SI1,60.6,61,"Rs. 27,906",3.95 x 3.97 x 2.40
196,0.23,Premium,D,SI1,62.1,56,"Rs. 27,906",3.93 x 3.94 x 2.45
197,0.23,Premium,G,VS2,62.3,58,"Rs. 27,906",3.95x3.92x2.45
198,0.21,Premium,E,VS2,61,58,"Rs. 27,908",3.85x3.87x2.35
199,0.21,Premium,E,VS2,60.2,59,"Rs. 27,908",3.90x3.91x2.35
200,0.2,Premium,F,VVS1,62,57,"Rs. 27,915",3.75x3.77x2.33
201,0.23,Premium,I,VVS2,62.8,57,"Rs. 27,931",3.89x3.92x2.45
202,0.3,Premium,J,SI1,61.4,57,"Rs. 27,936",4.31 x 4.35 x 2.66
203,0.2,Premium,F,VVS2,62.3,58,"Rs. 27,936",3.76x3.73x2.33
204,0.22,Premium,I,VVS2,60.7,61,"Rs. 27,976",3.88x3.90x2.36
205,0.23,Premium,J,VVS1,62.2,58,"Rs. 28,053",3.91 x 3.92 x 2.43
206,0.2,Premium,G,IF,61.2,59,"Rs. 28,063",3.83x3.8x2.33