,carat,cut,color,clarity,depth,table,lab,sym,pol,flr,hna,price
285,0.32,Premium,F,VVS1,61.4,57,GIA,X,X,N,N,$908 
286,0.62,Ideal,G,VS2,61.3,57,AGS,ID,ID,N,Y,"$2,500 "
287,0.51,Premium,F,VS2,60.7,58,GIA,X,X,N,N,"$1,939 "
288,0.3,Premium,F,SI1,62.1,55,GIA,X,X,N,N,$700 
289,0.63,Premium,F,VVS2,61.7,56,GIA,X,X,N,N,"$3,294 "
290,1.01,Ideal,G,SI1,61.5,55,AGS,ID,ID,N,Y,"$6,950 "
291,1.02,Premium,I,VVS1,61.8,56,GIA,X,X,N,N,"$7,076 "
292,0.31,Premium,F,VVS1,61.7,56,GIA,X,X,N,N,$947 
293,0.53,Premium,G,VS2,61.9,56,GIA,X,X,N,N,"$1,993 "
294,0.41,Premium,H,VVS1,61.9,55,GIA,X,X,N,N,"$1,192 "
295,0.66,Premium,F,VVS2,61.8,57,GIA,X,X,N,N,"$3,451 "
296,0.53,Premium,G,SI1,62,55,GIA,X,X,N,N,"$1,751 "
297,0.32,Premium,G,VVS1,61.7,56,GIA,X,X,N,N,$850 
298,0.73,Premium,I,VVS2,61.8,56,GIA,X,X,N,N,"$3,034 "
299,0.53,Premium,F,VS2,61.8,55,GIA,X,X,N,N,"$2,015 "
300,0.4,Ideal,F,SI1,61.8,57,AGS,ID,ID,N,Y,"$1,045 "
301,0.7,Premium,G,VS1,62.3,56,GIA,X,X,N,N,"$3,653 "
302,0.52,Premium,G,VS1,61.7,56,GIA,X,X,N,N,"$1,943 "
303,0.6,Ideal,I,VS2,61.6,56,AGS,ID,ID,N,Y,"$2,025 "
304,0.61,Premium,H,SI1,61.2,56,GIA,X,X,N,N,"$2,079 "
305,0.24,Premium,E,VVS1,61.3,56,GIA,X,X,N,N,$805 
306,0.52,Ideal,G,SI1,61.5,57,AGS,ID,ID,N,Y,"$1,820 "
307,0.31,Ideal,E,VS1,61.5,57,AGS,ID,ID,N,Y,$939 
308,1.01,Premium,E,VS2,61.5,58,GIA,X,X,N,N,"$9,650 "
309,0.73,Ideal,I,SI1,61,56,AGS,ID,ID,N,Y,"$2,667 "
310,0.71,Ideal,H,VS1,61.9,57,AGS,ID,ID,N,Y,"$3,375 "
311,0.31,Premium,I,IF,61.1,57,GIA,X,X,N,N,$699 
312,0.42,Premium,F,SI1,61.8,56,GIA,X,X,N,N,"$1,148 "
313,0.62,Ideal,H,VS2,61.5,54,AGS,ID,ID,N,Y,"$2,295 "
314,0.51,Ideal,G,VS1,61.8,56,AGS,ID,ID,N,Y,"$2,158 "
315,1.03,Ideal,G,VS1,60.3,57,AGS,ID,ID,N,Y,"$8,803 "
316,0.58,Ideal,G,VS2,61.1,57,AGS,ID,ID,N,Y,"$2,299 "
317,0.34,Premium,D,VS2,61.3,56,GIA,X,X,N,N,$953 
318,0.3,Premium,G,VS1,61.5,56,GIA,X,X,N,N,$810 
319,0.81,Ideal,F,VS2,61.8,56,AGS,ID,ID,N,Y,"$4,826 "
320,0.55,Ideal,F,SI1,61.1,57,AGS,ID,ID,N,Y,"$1,916 "
321,0.52,Ideal,E,VS1,61.9,56,AGS,ID,ID,N,Y,"$2,229 "
322,0.31,Premium,F,SI1,61,56,GIA,X,X,N,N,$651 
323,0.33,Premium,D,VS1,62.1,55,GIA,X,X,N,N,$993 
324,0.45,Ideal,F,VS2,61.8,58,AGS,ID,ID,N,Y,"$1,372 "
325,0.41,Premium,I,VVS2,61.6,56,GIA,X,X,N,N,"$1,060 "
326,0.33,Premium,E,VS1,61.4,56,GIA,X,X,N,N,$903 
327,0.41,Premium,F,VS2,61.5,56,GIA,X,X,N,N,"$1,221 "
328,0.45,Ideal,E,VS2,61,57.3,AGS,ID,ID,N,Y,"$1,718 "
329,0.36,Premium,H,SI1,61.7,56,GIA,X,X,N,N,$704 
330,0.59,Ideal,D,VS1,61.4,56.7,AGS,ID,ID,N,Y,"$3,357 "
331,0.36,Premium,G,VVS1,61.7,56,GIA,X,X,N,N,"$1,052 "
332,0.7,Premium,E,VS1,62.3,56,GIA,X,X,N,N,"$3,980 "
333,0.26,Premium,G,VS2,61.5,56,GIA,X,X,N,N,$605 
334,1.02,Premium,I,VVS1,61.8,56,GIA,X,X,N,N,"$7,076 "
335,0.72,Ideal,E,VS1,61.6,56.4,AGS,ID,ID,N,Y,"$4,534 "
336,0.31,Premium,E,VVS2,61.9,56,GIA,X,X,N,N,$988 
337,0.82,Ideal,F,VS2,61.3,56,AGS,ID,ID,N,Y,"$4,854 "
338,0.51,Premium,G,SI1,61.6,58,GIA,X,X,N,N,"$1,685 "
339,0.9,Premium,E,VVS2,60.5,58,GIA,X,X,N,N,"$9,043 "
340,0.33,Premium,F,VS2,61.4,56,GIA,X,X,N,N,$777 
341,0.5,Premium,F,VVS1,61.4,55,GIA,X,X,N,N,"$2,582 "
342,0.8,Premium,I,VS2,60.1,61,GIA,X,X,N,Y,"$2,744 "
343,1.04,Premium,I,VS1,61.6,55,GIA,X,X,N,N,"$6,947 "
344,0.23,Premium,F,VVS2,61.5,55,GIA,X,X,N,N,$703 
345,0.31,Premium,I,VVS1,61.6,55,GIA,X,X,N,N,$684 
346,0.3,Premium,G,VS1,61.4,56,GIA,X,X,N,N,$722 
347,1.05,Premium,F,VS1,61.6,57,GIA,X,X,N,N,"$10,848 "
348,0.4,Ideal,G,VS1,61.2,57,AGS,ID,ID,N,Y,"$1,321 "
349,0.7,Premium,G,VVS1,61.7,56,GIA,X,X,N,N,"$4,006 "
350,0.34,Premium,I,VS1,60.1,57,GIA,X,X,N,N,$741 
351,0.23,Premium,F,VVS2,61.1,57,GIA,X,X,N,N,$703 
352,0.76,Premium,D,VVS2,61.6,58,GIA,X,X,N,N,"$5,632 "
353,1.01,Very Good,F,VS2,60.4,57,GIA,X,X,N,N,"$6,750 "
354,0.33,Premium,F,VS1,62.4,56,GIA,X,X,N,N,$878 
355,1.04,Premium,I,VVS1,61.6,56,GIA,X,X,N,N,"$7,215 "
356,0.4,Premium,F,VVS2,61.8,56,GIA,X,X,N,N,"$1,480 "
357,0.42,Ideal,G,VS2,61.8,57,AGS,ID,ID,N,Y,"$1,160 "
358,0.61,Ideal,G,VS1,61.6,56,AGS,ID,ID,N,Y,"$2,653 "
359,0.44,Ideal,E,VS2,61.4,56.6,AGS,ID,ID,N,Y,"$1,610 "
360,0.61,Premium,G,VS1,61.3,56,GIA,X,X,N,N,"$2,601 "
361,0.41,Ideal,F,SI1,61.8,56,AGS,ID,ID,N,Y,"$1,068 "
362,0.42,Premium,G,VS1,61.6,56,GIA,X,X,N,N,"$1,267 "
363,0.55,Premium,D,VVS1,61.6,55,GIA,X,X,N,N,"$3,621 "
364,0.41,Premium,F,VS2,61.7,55,GIA,X,X,N,N,"$1,221 "
365,0.7,Ideal,G,SI1,61.9,57,AGS,ID,ID,N,Y,"$3,056 "
366,0.72,Premium,G,VS1,62.2,55,GIA,X,X,N,N,"$3,820 "
367,0.31,Premium,D,VS1,61.3,56,GIA,X,X,N,N,$933 
368,0.42,Premium,F,VVS2,62,57,GIA,X,X,N,N,"$1,554 "
369,0.23,Premium,H,VS2,61.9,56,GIA,X,X,N,N,$518 
370,0.58,Ideal,H,VS2,61.9,56,AGS,ID,ID,N,Y,"$1,742 "
371,0.43,Premium,H,VS1,62.1,55,GIA,X,X,N,N,"$1,265 "
372,0.24,Premium,E,VVS1,61.7,55,GIA,X,X,N,N,$805 
373,0.62,Ideal,D,VVS2,61.2,57,AGS,ID,ID,N,Y,"$3,213 "
374,1.01,Premium,I,VVS1,61.8,57,GIA,X,X,N,N,"$7,576 "
375,0.34,Premium,E,VS1,62.1,54,GIA,X,X,N,N,$944 
376,0.41,Premium,G,VS1,61.1,56,GIA,X,X,N,N,"$1,237 "
377,0.53,Premium,G,VVS2,61.7,55,GIA,X,X,N,N,"$2,304 "
378,0.23,Premium,F,VS2,61.4,57,GIA,X,X,N,N,$553 
379,0.27,Premium,F,VVS2,61.6,55,GIA,X,X,N,N,$825 
380,0.43,Premium,H,VS1,61.8,55,GIA,X,X,N,N,"$1,265 "
381,1.05,Premium,F,VVS1,62.4,56,GIA,X,X,N,N,"$12,384 "
382,0.31,Premium,G,VVS1,61.6,56,GIA,X,X,N,N,$906 
383,0.24,Premium,E,VVS1,61.9,56,GIA,X,X,N,N,$805 
384,0.31,Premium,H,VVS1,61.6,55,GIA,X,X,N,N,$827 
385,0.3,Premium,H,VS1,60.9,56,GIA,X,X,N,N,$711 
386,1.03,Premium,H,VS2,61.5,57,GIA,X,X,N,N,"$8,117 "
387,0.23,Premium,D,VVS1,61.4,55,GIA,X,X,N,N,$821 
388,0.53,Premium,H,SI1,61.9,55,GIA,X,X,N,N,"$1,728 "
389,0.34,Premium,G,VS1,61.4,56,GIA,X,X,N,N,$878 
390,1.04,Ideal,G,VS1,61.4,57,AGS,ID,ID,N,Y,"$9,094 "
391,0.51,Premium,E,VVS2,60.8,57,GIA,X,X,N,N,"$2,625 "
392,0.71,Premium,E,VS2,61.5,56,GIA,X,X,N,N,"$3,900 "
393,0.52,Premium,E,VS1,61.5,56,GIA,X,X,N,N,"$2,150 "
394,0.7,Premium,G,VS1,62.2,56,GIA,X,X,N,N,"$3,714 "
395,1.03,Premium,F,VVS2,62.3,56,GIA,X,X,N,N,"$10,891 "
396,0.5,Premium,F,VVS1,60.9,58,GIA,X,X,N,N,"$2,582 "
397,0.23,Premium,E,VS2,61.4,56,GIA,X,X,N,N,$559 
398,0.72,Ideal,E,VVS2,61.6,56,AGS,ID,ID,N,Y,"$4,267 "
399,0.53,Premium,E,VS1,61.6,57,GIA,X,X,N,N,"$2,192 "
400,0.31,Premium,H,IF,61.6,55,GIA,X,X,N,N,$849 
401,0.41,Premium,F,VS2,61.6,55,GIA,X,X,N,N,"$1,221 "
402,1.03,Ideal,G,SI1,61.8,58,AGS,ID,ID,N,Y,"$6,766 "
403,0.6,Premium,F,VVS1,61.6,57,GIA,X,X,N,N,"$3,882 "
404,0.34,Premium,I,VS2,62,57,GIA,X,X,N,N,$702 
405,0.61,Ideal,D,VS2,61.3,56.3,AGS,ID,ID,N,Y,"$3,349 "
406,0.6,Premium,I,VS1,61.6,56,GIA,X,X,N,N,"$1,986 "
407,1,Premium,G,VS1,61.7,57,GIA,X,X,N,N,"$8,321 "
408,0.41,Premium,E,SI1,60.9,56,GIA,X,X,N,N,"$1,080 "
409,0.41,Premium,G,VVS1,61.6,57,GIA,X,X,N,N,"$1,395 "
410,0.58,Ideal,G,VS2,61.3,57,AGS,ID,ID,N,Y,"$2,013 "
411,0.4,Premium,H,VS1,61.8,55,GIA,X,X,N,N,"$1,159 "
412,0.8,Premium,I,VVS2,62.1,56,GIA,X,X,N,N,"$3,799 "
413,0.73,Ideal,F,VS2,61,57,AGS,ID,ID,N,Y,"$3,863 "
414,0.51,Ideal,F,VS1,61.5,57,AGS,ID,ID,N,Y,"$2,189 "
415,0.32,Premium,D,VS1,61.8,55,GIA,X,X,N,N,$984 
416,0.32,Premium,E,VS1,60.8,57,GIA,X,X,N,N,$795 
417,0.31,Premium,F,VVS2,62.3,55,GIA,X,X,N,N,$928 
418,1,Ideal,E,SI1,61.8,55.4,AGS,ID,ID,N,Y,"$9,594 "
419,0.51,Ideal,E,VS2,61.6,56,AGS,ID,ID,N,Y,"$2,096 "
420,1.02,Premium,D,VS2,61.6,56,GIA,X,X,N,N,"$9,728 "
421,0.58,Premium,F,SI1,61.3,57,GIA,X,X,N,N,"$1,926 "
422,0.8,Ideal,G,SI1,61.7,56,AGS,ID,ID,N,Y,"$3,889 "
423,0.4,Ideal,F,VS2,61.8,56,AGS,ID,ID,N,Y,"$1,232 "
424,0.9,Ideal,D,VVS2,61.9,57,AGS,ID,ID,N,Y,"$9,191 "
425,0.41,Premium,G,VS1,61.6,56,GIA,X,X,N,N,"$1,220 "
426,0.74,Premium,H,VS1,61.3,57,GIA,X,X,N,N,"$3,555 "
427,1.04,Ideal,H,SI1,61.8,56,AGS,ID,ID,N,Y,"$6,281 "
428,0.82,Premium,H,VS2,61.4,57,GIA,X,X,N,N,"$4,320 "
429,0.6,Premium,F,VVS1,61.1,56,GIA,X,X,N,N,"$3,882 "
430,0.8,Ideal,F,VS1,60.8,56.5,AGS,ID,ID,N,Y,"$6,063 "
431,0.9,Ideal,F,VS2,61.7,56,AGS,ID,ID,N,Y,"$7,040 "
432,0.76,Premium,D,VVS1,62.3,56,GIA,X,X,N,N,"$6,119 "
433,0.55,Premium,H,VS1,61.6,57,GIA,X,X,N,N,"$1,954 "
434,0.32,Premium,F,SI1,61.5,57,GIA,X,X,N,N,$672 
435,1.02,Premium,H,VS1,61.6,56,GIA,X,X,N,N,"$7,650 "
436,0.3,Premium,E,VS2,61.8,56,GIA,X,X,N,N,$707 
437,0.81,Ideal,I,VS2,61.9,57,AGS,ID,ID,N,Y,"$3,584 "
438,0.4,Premium,G,VVS1,61.7,55,GIA,X,X,N,N,"$1,361 "
439,0.52,Premium,I,VVS2,61.5,56,GIA,X,X,N,N,"$1,692 "
440,0.56,Premium,G,VS2,61.1,57,GIA,X,X,N,N,"$2,017 "
441,0.39,Premium,I,VS2,61.8,56,GIA,X,X,N,N,$792 
442,0.41,Premium,G,VS1,61.5,56,GIA,X,X,N,N,"$1,237 "
443,0.33,Premium,F,VS2,61.6,56,GIA,X,X,N,N,$858 
444,0.6,Premium,H,SI1,62.2,55,GIA,X,X,N,N,"$2,076 "
445,0.4,Premium,G,VVS2,61.6,56,GIA,X,X,N,N,"$1,270 "
446,0.32,Ideal,I,SI1,61.6,56,AGS,ID,ID,N,Y,$640 
447,0.71,Premium,G,VS1,61.5,55,GIA,X,X,N,N,"$3,767 "
448,1.04,Ideal,G,VS2,60.7,58,AGS,ID,ID,N,Y,"$7,329 "
449,0.61,Ideal,F,VS2,61.5,55,AGS,ID,ID,N,Y,"$2,590 "
450,0.7,Premium,G,VS1,61.6,56,GIA,X,X,N,N,"$3,714 "
451,0.65,Ideal,F,VS1,61.4,57,AGS,ID,ID,N,Y,"$3,288 "
452,0.23,Premium,F,VVS2,61.8,55,GIA,X,X,N,N,$703 
453,0.31,Ideal,F,VS2,61.8,55,AGS,ID,ID,N,Y,$915 
454,0.62,Ideal,G,VS1,61.7,57,AGS,ID,ID,N,Y,"$2,701 "
455,0.74,Ideal,G,VS2,61.6,57,AGS,ID,ID,N,Y,"$3,560 "
456,0.7,Premium,F,VVS1,61.5,55,GIA,X,X,N,N,"$5,000 "
457,0.71,Premium,G,VS2,61.5,57,GIA,X,X,N,N,"$3,512 "
458,0.3,Premium,G,VS1,61.7,55,GIA,X,X,N,N,$790 
459,0.51,Premium,E,VVS2,61.4,57,GIA,X,X,N,N,"$2,625 "
460,0.4,Premium,E,VS2,61.6,56,GIA,X,X,N,N,"$1,223 "
461,0.53,Premium,G,VVS2,61.7,56,GIA,X,X,N,N,"$2,058 "
462,0.7,Premium,F,VS1,61.4,56,GIA,X,X,N,N,"$4,055 "
463,0.3,Premium,H,SI1,60.8,55,GIA,X,X,N,N,$648 
464,0.82,Premium,F,VVS2,62.1,56,GIA,X,X,N,N,"$6,428 "
465,0.3,Ideal,F,VS1,61.6,55,AGS,ID,ID,N,Y,$928 
466,0.32,Ideal,F,VS2,61.8,56,AGS,ID,ID,N,Y,$933 
467,0.93,Ideal,E,VVS1,61.9,56,AGS,ID,ID,N,Y,"$9,858 "
468,1.01,Premium,I,VS2,61.6,57,GIA,X,X,N,N,"$7,054 "
469,0.82,Ideal,E,VS2,61.8,56,AGS,ID,ID,N,Y,"$4,958 "
470,0.41,Premium,G,VS2,61.7,57,GIA,X,X,N,N,"$1,209 "
471,0.81,Premium,D,VVS2,62.2,56,GIA,X,X,N,N,"$7,524 "
472,0.6,Ideal,G,VS1,61,56.8,AGS,ID,ID,N,Y,"$2,883 "
473,0.34,Premium,D,IF,61.9,56,GIA,X,X,N,N,"$1,694 "
474,0.41,Premium,G,VVS2,61.9,56,GIA,X,X,N,N,"$1,256 "
475,0.5,Ideal,I,VS2,61.6,56,AGS,ID,ID,N,Y,"$1,615 "
476,0.81,Premium,F,VS1,61.7,56,GIA,X,X,N,N,"$5,070 "
477,0.32,Premium,F,VVS1,61.6,58,GIA,X,X,N,N,"$1,097 "
478,0.33,Premium,I,SI1,61.9,55,GIA,X,X,N,N,$620 
479,0.33,Ideal,F,VS1,61.3,56,AGS,ID,ID,N,Y,$828 
480,0.3,Premium,E,VS2,62.4,55,GIA,X,X,N,N,$811 
481,0.73,Ideal,H,VS2,61.3,57,AGS,ID,ID,N,Y,"$3,294 "
482,0.3,Premium,F,VVS1,60.9,58,GIA,X,X,N,N,$916 
483,0.5,Premium,I,VVS1,61.9,56,GIA,X,X,N,N,"$1,780 "
484,0.23,Premium,D,VVS2,61.3,56,GIA,X,X,N,N,$754 
485,0.5,Premium,I,SI1,61.1,57,GIA,X,X,N,N,"$1,451 "
486,0.42,Ideal,I,SI1,61.7,55,AGS,ID,ID,N,Y,$981 
487,0.81,Ideal,F,VS1,61.5,58,AGS,ID,ID,N,Y,"$5,045 "
488,0.27,Premium,G,VS2,61.8,55,GIA,X,X,N,N,$628 
489,0.91,Ideal,F,VS2,61.8,57,AGS,ID,ID,N,Y,"$6,766 "
490,0.62,Ideal,F,SI1,61.9,55,AGS,ID,ID,N,Y,"$1,808 "
491,0.6,Premium,F,VVS2,61.5,56,GIA,X,X,N,N,"$3,137 "
492,0.55,Ideal,I,VS2,61.7,57,AGS,ID,ID,N,Y,"$1,762 "
493,0.31,Premium,G,VS1,61.5,55,GIA,X,X,N,N,$816 
494,0.23,Premium,F,VVS2,61.6,55,GIA,X,X,N,N,$703 
495,1.05,Premium,F,VVS2,61.8,56,GIA,X,X,N,N,"$11,102 "
496,0.5,Premium,F,VS1,62.3,55,GIA,X,X,N,N,"$2,182 "
497,0.43,Ideal,D,VVS2,61.9,55,AGS,ID,ID,N,Y,"$1,364 "
498,1.05,Premium,F,SI1,61.4,57,GIA,X,X,N,N,"$7,624 "
499,0.31,Premium,G,VS2,61.6,55,GIA,X,X,N,N,$789 
500,0.57,Premium,H,VVS2,62.3,55,GIA,X,X,N,N,"$2,070 "
501,0.71,Premium,F,VVS2,61.6,56,GIA,X,X,N,N,"$4,680 "
502,0.26,Premium,D,VS2,61.9,56,GIA,X,X,N,N,$673 
503,0.23,Premium,D,VVS2,61.4,56,GIA,X,X,N,N,$754 
504,0.24,Premium,H,SI1,62.2,57,GIA,X,X,N,N,$518 
505,0.53,Premium,H,VVS1,62.2,57,GIA,X,X,N,N,"$1,938 "
506,0.61,Ideal,E,VVS2,62,56,AGS,ID,ID,N,Y,"$2,837 "
507,0.24,Premium,E,VS2,61.3,56,GIA,X,X,N,N,$583 
508,0.41,Ideal,G,VS2,60.9,57,AGS,ID,ID,N,Y,"$1,205 "
509,0.28,Premium,F,VVS2,61.3,56,GIA,X,X,N,N,$855 
510,0.52,Premium,H,VS1,61.5,56,GIA,X,X,N,N,"$1,867 "
511,0.54,Premium,D,VS2,61.2,57,GIA,X,X,N,N,"$2,232 "
512,0.64,Ideal,E,VS2,61.3,56.6,AGS,ID,ID,N,Y,"$3,419 "
513,0.42,Ideal,G,VS2,61.7,56,AGS,ID,ID,N,Y,"$1,217 "
514,0.23,Premium,F,VS1,61.7,55,GIA,X,X,N,N,$587 
515,0.57,Ideal,E,VVS2,61.9,56,AGS,ID,ID,N,Y,"$2,626 "
516,0.59,Premium,F,SI1,61.3,56,GIA,X,X,N,N,"$1,997 "
517,0.53,Premium,G,VS2,61.8,55,GIA,X,X,N,N,"$1,958 "
518,0.42,Ideal,H,VS2,61.9,56,AGS,ID,ID,N,Y,"$1,191 "
519,0.52,Premium,F,VVS2,61.9,57,GIA,X,X,N,N,"$2,252 "
520,0.71,Premium,E,VS1,61.6,56,GIA,X,X,N,N,"$4,123 "
521,0.4,Premium,G,VVS2,62.2,56,GIA,X,X,N,N,"$1,270 "
522,0.5,Premium,F,VVS2,61.9,55,GIA,X,X,N,N,"$2,359 "
523,0.31,Premium,G,VVS2,61.2,56,GIA,X,X,N,N,$767 
524,0.45,Premium,E,VVS1,61.8,57,GIA,X,X,N,N,"$2,044 "
525,0.42,Premium,E,VVS1,62.3,56,GIA,X,X,N,N,"$1,908 "
526,0.55,Premium,E,VVS2,60.1,58,GIA,X,X,N,N,"$2,598 "
527,0.53,Premium,D,VVS2,61.2,55,GIA,X,X,N,N,"$2,951 "
528,0.66,Premium,G,VS1,62.3,55,GIA,X,X,N,N,"$2,815 "
529,0.61,Premium,H,VVS1,61.7,56,GIA,X,X,N,N,"$2,490 "
530,0.32,Premium,G,VS1,61.6,55,GIA,X,X,N,N,$843 
531,0.26,Premium,F,VS1,61,58,GIA,X,X,N,N,$664 
532,0.41,Premium,G,VVS2,61.5,56,GIA,X,X,N,N,"$1,302 "
533,0.34,Premium,E,VVS2,62.2,56,GIA,X,X,N,N,"$1,083 "
534,0.72,Premium,F,SI1,61.9,57,GIA,X,X,N,N,"$3,156 "
535,0.72,Premium,E,VS2,61.7,56,GIA,X,X,N,N,"$3,910 "
536,0.56,Ideal,H,VS2,61.4,57,AGS,ID,ID,N,Y,"$2,045 "
537,0.56,Premium,F,VS2,61.4,55,GIA,X,X,N,N,"$2,349 "
538,0.33,Premium,H,VS1,61.5,56,GIA,X,X,N,N,$830 
539,0.72,Ideal,G,SI1,61.7,58,AGS,ID,ID,N,Y,"$3,046 "
540,0.32,Ideal,I,SI1,61.4,56,AGS,ID,ID,N,Y,$636 
541,0.41,Ideal,F,VS2,61,57.1,AGS,ID,ID,N,Y,"$1,573 "
542,0.7,Premium,F,SI1,62.2,57,GIA,X,X,N,N,"$3,068 "
543,0.52,Ideal,H,VS2,61.9,56,AGS,ID,ID,N,Y,"$1,877 "
544,0.51,Ideal,G,SI1,62,56,AGS,ID,ID,N,Y,"$1,775 "
545,0.5,Premium,F,VVS2,61,57,GIA,X,X,N,N,"$2,359 "
546,0.31,Premium,G,VS2,61.5,56,GIA,X,X,N,N,$789 
547,0.81,Premium,G,VS1,62.1,57,GIA,X,X,N,N,"$4,913 "
548,0.23,Premium,G,IF,61.6,55,GIA,X,X,N,N,$625 
549,0.34,Premium,I,VS1,60.9,56,GIA,X,X,N,N,$703 
550,0.54,Premium,E,VS1,62.1,56,GIA,X,X,N,N,"$2,233 "
551,0.71,Premium,F,VS1,61.4,56,GIA,X,X,N,N,"$4,113 "
552,0.41,Premium,G,VVS2,62.3,56,GIA,X,X,N,N,"$1,302 "
553,0.7,Premium,H,VVS1,60.9,57,GIA,X,X,N,N,"$3,418 "
554,0.7,Ideal,I,VS2,61.4,57,AGS,ID,ID,N,Y,"$2,798 "
555,0.61,Ideal,H,VS2,61.7,57,AGS,ID,ID,N,Y,"$2,330 "
556,0.61,Premium,F,VVS1,60.9,57,GIA,X,X,N,N,"$3,947 "
557,0.74,Ideal,I,VS2,61.6,57,AGS,ID,ID,N,Y,"$2,954 "
558,0.93,Ideal,I,VS2,61.3,57,AGS,ID,ID,N,Y,"$5,600 "
559,0.62,Ideal,H,SI1,61.9,55,AGS,ID,ID,N,Y,"$2,229 "
560,0.71,Premium,I,VS2,61.8,57,GIA,X,X,N,N,"$2,916 "
561,0.7,Premium,F,VS2,61.7,57,GIA,X,X,N,N,"$3,832 "
562,0.23,Premium,E,VS1,61.9,55,GIA,X,X,N,N,$598 
563,0.8,Ideal,H,SI1,61.4,56,AGS,ID,ID,N,Y,"$3,468 "
564,0.5,Ideal,E,VS2,61.6,56.7,AGS,ID,ID,N,Y,"$2,529 "
565,1.01,Premium,F,VVS1,62,56,GIA,X,X,N,N,"$11,912 "
566,0.57,Premium,G,SI1,61.8,57,GIA,X,X,N,N,"$1,883 "
567,0.6,Ideal,F,VVS2,61.9,57,AGS,ID,ID,N,Y,"$2,683 "
568,0.66,Ideal,I,SI1,61.5,57,AGS,ID,ID,N,Y,"$2,075 "
